2026-06-05 18:07:51 | INFO    | src.config | Configuração carregada: 3 destino(s).
2026-06-05 18:07:51 | INFO    | src.monitor | Verificando 'Voo GRU -> SDU (julho)' (provedor=mock)...
2026-06-05 18:07:51 | INFO    | src.monitor | 'Voo GRU -> SDU (julho)': melhor preço 377.11 BRL (anterior: n/a)
2026-06-05 18:07:51 | INFO    | src.monitor | ALERTA para 'Voo GRU -> SDU (julho)': preço 377.11 <= limite 450.00
2026-06-05 18:07:51 | INFO    | src.monitor | Verificando 'Hotel no Rio (julho)' (provedor=mock)...
2026-06-05 18:07:51 | INFO    | src.monitor | 'Hotel no Rio (julho)': melhor preço 191.69 BRL (anterior: n/a)
2026-06-05 18:07:51 | INFO    | src.monitor | ALERTA para 'Hotel no Rio (julho)': preço 191.69 <= limite 300.00
2026-06-05 18:07:51 | INFO    | src.monitor | Verificando 'Ônibus SP -> RJ' (provedor=mock)...
2026-06-05 18:07:51 | INFO    | src.monitor | 'Ônibus SP -> RJ': melhor preço 346.40 BRL (anterior: n/a)
2026-06-05 18:07:51 | INFO    | src.history | Histórico salvo em data/history.json.
2026-06-05 18:07:51 | ERROR   | src.notifier | Falha ao enviar e-mail: [Errno -3] Temporary failure in name resolution
2026-06-05 18:07:51 | INFO    | main | Concluído: 2 alerta(s).
